"Class Name - Allocated Objects","Bytes Allocated","Bytes Allocated","Objects Allocated"
"int[]","49.77%","105945808","303437"
"byte[]","45.42%","96681608","123058"
"java.awt.Rectangle","0.64%","1361472","189588"
"sun.java2d.SunGraphics2D","0.47%","990760","18070"
"sun.awt.image.IntegerInterleavedRaster","0.46%","971152","39073"
"java.awt.geom.AffineTransform","0.45%","963936","60318"
"char[]","0.37%","787312","40128"
"sun.awt.image.ByteInterleavedRaster","0.30%","629504","21994"
"java.awt.image.SinglePixelPackedSampleModel","0.20%","415632","39074"
"java.awt.Point","0.16%","340080","63771"
"java.security.AccessControlContext","0.15%","325344","45495"
"sun.java2d.pipe.Region","0.15%","315120","35407"
"java.awt.image.PixelInterleavedSampleModel","0.13%","275240","21996"
"java.lang.String","0.12%","252224","35330"
"java.lang.Object[]","0.10%","202808","29424"
"java.awt.event.InvocationEvent","0.08%","162504","10062"
"java.util.HashMap$Entry[]","0.04%","92448","5240"
"java.lang.ref.WeakReference","0.04%","88992","12449"
"java.util.HashMap$Entry","0.04%","76704","10697"
"java.util.ArrayList","0.03%","65088","12241"
"java.awt.Color","0.03%","62928","5977"
"java.awt.EventQueue$1","0.03%","62328","11682"
"java.awt.EventQueueItem","0.03%","61824","11560"
"short[]","0.03%","56064","2149"
"java.awt.event.ActionEvent","0.03%","55776","4412"
"java.util.HashMap","0.03%","55152","5136"
"java.awt.Insets","0.02%","49952","7006"
"java.lang.StringBuilder","0.02%","48240","8972"
"java.awt.geom.RoundRectIterator","0.02%","45648","2880"
"java.util.IdentityHashMap$KeyIterator","0.02%","45520","5132"
"java.nio.HeapCharBuffer","0.02%","44592","4145"
"java.lang.String[]","0.02%","40760","4897"
"java.nio.HeapByteBuffer","0.02%","37536","3503"
"java.util.Formatter$FormatSpecifier","0.02%","36816","3446"
"java.util.regex.Matcher","0.02%","36288","2520"
"java.lang.Integer","0.02%","35040","9865"
"java.util.HashMap$KeyIterator","0.01%","31920","3573"
"float[]","0.01%","31528","3401"
"java.lang.Long","0.01%","30000","5659"
"apple.awt.OSXOffScreenSurfaceData","0.01%","29928","377"
"java.util.Hashtable$Entry","0.01%","28928","4113"
"java.util.LinkedList$Entry","0.01%","27984","5261"
"java.awt.geom.RoundRectangle2D$Float","0.01%","25680","2880"
"java.awt.BasicStroke","0.01%","25680","2869"
"java.awt.Dimension","0.01%","24744","4611"
"java.lang.reflect.Method","0.01%","21384","1102"
"java.util.Formatter$Flags[]","0.01%","20920","3055"
"java.lang.Class[]","0.01%","17992","3570"
"java.beans.PropertyChangeEvent","0.01%","17696","2458"
"java.awt.Component[]","0.01%","17488","3174"
"java.nio.DirectByteBuffer","0.01%","16960","1188"
"java.util.Formatter","0.01%","16064","2250"
"java.lang.reflect.Field","0.01%","15840","981"
"javax.swing.Timer$1","0.01%","15584","4397"
"com.sun.imageio.plugins.jpeg.JPEGImageReader","0.01%","14600","333"
"java.nio.DirectIntBufferU","0.01%","14448","1182"
"javax.swing.event.AncestorEvent","0.01%","13872","1310"
"java.util.Formatter$FormatString[]","0.01%","13632","3107"
"long[]","0.01%","13624","225"
"apple.laf.JRSUIConstants$DoubleValue","0.01%","13128","2434"
"java.util.Hashtable$Entry[]","0.01%","12752","593"
"java.awt.event.MouseEvent","0.01%","12496","644"
"java.lang.ref.Finalizer","0.01%","12480","1355"
"java.util.Formatter$Flags","0.01%","12464","3456"
"java.lang.Object","0.01%","12416","3515"
"java.security.ProtectionDomain[]","0.01%","12216","2336"
"double[]","0.01%","12032","805"
"java.lang.ref.SoftReference","0.01%","11040","1213"
"java.util.HashSet","0.01%","11040","3108"
"sun.misc.Cleaner","0.00%","10600","1188"
"java.util.HashMap$ValueIterator","0.00%","10120","1131"
"java.util.Formatter$FixedString","0.00%","10032","1888"
"java.nio.DirectFloatBufferU","0.00%","9912","788"
"sun.java2d.loops.FontInfo","0.00%","9800","742"
"java.nio.DirectLongBufferU","0.00%","9688","788"
"sun.java2d.loops.GraphicsPrimitive[]","0.00%","9568","41"
"java.lang.ref.PhantomReference","0.00%","9536","1332"
"sun.font.AppleNativeFont","0.00%","9152","624"
"java.io.File","0.00%","8952","1690"
"java.net.URL","0.00%","8768","606"
"java.util.Stack","0.00%","8128","1162"
"java.beans.PropertyChangeListener[]","0.00%","7984","1203"
"java.awt.EventQueue$2","0.00%","7704","1459"
"java.awt.image.DataBufferByte","0.00%","7680","692"
"java.awt.AWTEventMulticaster","0.00%","7584","1422"
"com.sun.imageio.plugins.png.PNGMetadata","0.00%","7568","98"
"javax.swing.plaf.InsetsUIResource","0.00%","7264","1023"
"apple.awt.OSXSurfaceData$DrawingQueue","0.00%","6720","394"
"java.awt.font.FontRenderContext","0.00%","6656","942"
"java.awt.event.HierarchyEvent","0.00%","6608","542"
"sun.font.FontStrikeDesc","0.00%","6560","750"
"sun.awt.EventQueueItem","0.00%","6480","1194"
"java.nio.DirectByteBuffer$Deallocator","0.00%","6336","1188"
"java.io.FileDescriptor","0.00%","5832","1082"
"java.util.LinkedList","0.00%","5328","988"
"java.util.Hashtable","0.00%","5088","483"
"java.util.StringTokenizer","0.00%","4896","459"
"java.lang.StringBuffer","0.00%","4896","904"
"java.awt.image.BufferedImage","0.00%","4704","436"
"javax.imageio.spi.PartialOrderIterator","0.00%","4680","871"
"javax.imageio.plugins.jpeg.JPEGImageReadParam","0.00%","4312","214"
"com.sun.imageio.plugins.jpeg.DHTMarkerSegment$Htable","0.00%","4288","600"
"sun.awt.PeerEvent","0.00%","4240","231"
"java.awt.event.ComponentEvent","0.00%","4040","468"
"java.lang.reflect.Constructor","0.00%","3888","243"
"javax.swing.JPanel","0.00%","3872","50"
"javax.swing.JButton","0.00%","3776","30"
"byte[][]","0.00%","3768","703"
"java.util.concurrent.atomic.AtomicInteger","0.00%","3760","1083"
"java.io.RandomAccessFile","0.00%","3744","541"
"javax.imageio.stream.FileImageInputStream","0.00%","3648","261"
"java.util.WeakHashMap$Entry","0.00%","3560","390"
"java.util.AbstractList$ListItr","0.00%","3552","504"
"java.io.FileInputStream","0.00%","3424","480"
"javax.imageio.plugins.jpeg.JPEGHuffmanTable","0.00%","3264","604"
"com.sun.imageio.plugins.jpeg.JFIFMarkerSegment","0.00%","3256","150"
"com.sun.imageio.plugins.jpeg.SOFMarkerSegment$ComponentSpec","0.00%","3168","450"
"com.sun.imageio.plugins.jpeg.SOSMarkerSegment$ScanComponentSpec","0.00%","3136","450"
"java.util.AbstractList$Itr","0.00%","2912","411"
"sun.java2d.DefaultDisposerRecord","0.00%","2848","394"
"com.sun.imageio.plugins.jpeg.DQTMarkerSegment$Qtable","0.00%","2600","300"
"javax.imageio.stream.FileCacheImageInputStream","0.00%","2592","121"
"javax.swing.JLabel","0.00%","2400","23"
"apple.awt.OSXCachingSurfaceManager","0.00%","2400","336"
"java.util.LinkedList$ListItr","0.00%","2336","331"
"javax.imageio.spi.FilterIterator","0.00%","2328","436"
"javax.imageio.stream.FileImageOutputStream","0.00%","2240","150"
